borough,neighborhood,id,race,estimate
Bronx,Schuylerville-Throgs Neck-Edgewater Park                       ,BX52,HspE,19099.0
Bronx,Soundview-Bruckner                                             ,BX55,HspE,22588.0
Bronx,Westchester-Unionport                                          ,BX59,HspE,17581.0
Bronx,Woodlawn-Wakefield                                             ,BX62,HspE,7638.0
Bronx,West Concourse                                                 ,BX63,HspE,27518.0
Bronx,Crotona Park East                                              ,BX75,HspE,13872.0
Bronx,Rikers Island                                                  ,BX98,HspE,3159.0
Bronx,park-cemetery-etc-Bronx                                        ,BX99,HspE,
Manhattan,Marble Hill-Inwood                                             ,MN01,HspE,37338.0
Manhattan,Central Harlem North-Polo Grounds                              ,MN03,HspE,18948.0
Manhattan,Hamilton Heights                                               ,MN04,HspE,24926.0
Manhattan,Manhattanville                                                 ,MN06,HspE,13726.0
Manhattan,Morningside Heights                                            ,MN09,HspE,13046.0
Manhattan,Central Harlem South                                           ,MN11,HspE,8457.0
Manhattan,Upper West Side                                                ,MN12,HspE,19938.0
Manhattan,Hudson Yards-Chelsea-Flat Iron-Union Square                    ,MN13,HspE,10710.0
Manhattan,Lincoln Square                                                 ,MN14,HspE,5797.0
Manhattan,Clinton                                                        ,MN15,HspE,8409.0
Manhattan,Midtown-Midtown South                                          ,MN17,HspE,2121.0
Manhattan,Turtle Bay-East Midtown                                        ,MN19,HspE,3553.0
Manhattan,Murray Hill-Kips Bay                                           ,MN20,HspE,5306.0
Manhattan,Gramercy                                                       ,MN21,HspE,1797.0
Manhattan,East Village                                                   ,MN22,HspE,4927.0
Manhattan,West Village                                                   ,MN23,HspE,3898.0
Manhattan,SoHo-TriBeCa-Civic Center-Little Italy                         ,MN24,HspE,2401.0
Manhattan,Battery Park City-Lower Manhattan                              ,MN25,HspE,3880.0
Manhattan,Chinatown                                                      ,MN27,HspE,5977.0
Manhattan,Lower East Side                                                ,MN28,HspE,29885.0
Manhattan,Lenox Hill-Roosevelt Island                                    ,MN31,HspE,5784.0
Manhattan,Yorkville                                                      ,MN32,HspE,7651.0
Manhattan,East Harlem South                                              ,MN33,HspE,25635.0
Manhattan,East Harlem North                                              ,MN34,HspE,29093.0
Manhattan,Washington Heights North                                       ,MN35,HspE,47731.0
Manhattan,Washington Heights South                                       ,MN36,HspE,64601.0
Manhattan,Upper East Side-Carnegie Hill                                  ,MN40,HspE,3110.0
Manhattan,Stuyvesant Town-Cooper Village                                 ,MN50,HspE,1655.0
Manhattan,park-cemetery-etc-Manhattan                                    ,MN99,HspE,
Queens,South Jamaica                                                  ,QN01,HspE,6740.0
Queens,Springfield Gardens North                                      ,QN02,HspE,2189.0
Queens,Springfield Gardens South-Brookville                           ,QN03,HspE,1475.0
Queens,Rosedale                                                       ,QN05,HspE,2097.0
Queens,Jamaica Estates-Holliswood                                     ,QN06,HspE,3473.0
Queens,Hollis                                                         ,QN07,HspE,2287.0
Queens,St. Albans                                                     ,QN08,HspE,3681.0
Queens,Breezy Point-Belle Harbor-Rockaway Park-Broad                  ,QN10,HspE,3456.0
Queens,Hammels-Arverne-Edgemere                                       ,QN12,HspE,9260.0
Queens,Far Rockaway-Bayswater                                         ,QN15,HspE,12915.0
